"CustomerID";"FDP_Date";"FDP_Time";"FDPd";"REGdFDP";"BrandID";"CompID"
5244689;"26/08/2019";694;744.125;1;4;2
5244701;"25/08/2019";971;744.9583;0;3;2
5244795;"25/08/2019";1156;744.7917;0;4;18
5244818;"11/09/2019";586;728.2083;17;4;2
5244860;"25/08/2019";1253;744.75;0;4;2
5244881;"28/08/2019";729;742.125;3;4;2
5244905;"29/10/2019";1010;679.9167;65;4;2
5244928;"26/08/2019";1059;743.875;1;4;2
5244979;"27/08/2019";694;743.125;2;4;2
5245015;"13/02/2020";1029;572.9167;171;4;2
5245032;"18/11/2019";734;660.125;84;4;2
5245034;"04/09/2019";808;735.0417;9;4;2
5245215;"29/10/2019";844;680.0417;64;4;2
5245247;"26/08/2019";801;744.0417;0;4;2
5245266;"26/08/2019";640;744.1667;0;4;2
5245268;"28/08/2019";982;741.9167;2;4;2
5245274;"26/08/2019";703;744.125;0;4;2
5245276;"29/08/2019";815;741.0417;3;4;2
5245285;"26/08/2019";788;744.0833;0;3;2
5245313;"26/08/2019";695;744.125;0;4;2
5245322;"26/08/2019";630;744.1667;0;4;2
5245326;"26/08/2019";1006;743.9167;0;4;2
5245345;"26/08/2019";633;744.1667;0;4;2
5245361;"26/08/2019";668;744.1667;0;4;2
5245396;"26/08/2019";842;744.0417;0;3;2
5245426;"26/08/2019";935;743.9583;0;4;2
5245438;"26/08/2019";1026;743.9167;0;4;2
5245450;"26/08/2019";721;744.125;0;4;2
5245453;"09/06/2020";1186;455.7917;288;4;2
5245483;"26/08/2019";854;744.0;0;3;2
5245492;"26/08/2019";1309;743.7083;0;4;18
5245542;"03/09/2019";740;736.0833;8;4;2
5245560;"27/08/2019";915;742.9583;1;4;2
5245588;"29/08/2019";1045;740.875;3;4;2
5245600;"29/08/2019";1060;740.875;3;4;2
5245719;"27/08/2019";912;743.0;1;4;2
5245765;"26/08/2019";1212;743.7917;0;4;2
5245808;"27/08/2019";823;743.0417;1;4;2
5245812;"29/08/2019";582;741.2083;3;4;2
5245824;"27/08/2019";797;743.0417;1;4;2
5245833;"26/08/2019";1234;743.75;0;4;2
5245848;"27/08/2019";647;743.1667;1;4;2
5245861;"30/08/2019";661;740.1667;4;4;2
5245886;"27/08/2019";1023;742.9167;1;4;2
5245917;"27/08/2019";1080;742.875;1;3;2
5245926;"27/08/2019";1352;742.6667;1;4;2
5245992;"27/08/2019";978;742.9167;1;4;2
5245997;"11/09/2019";799;728.0417;16;4;2
5246000;"27/08/2019";1011;742.9167;1;4;2
5246016;"27/08/2019";906;743.0;1;4;2
5246032;"27/08/2019";632;743.1667;1;4;2
5246034;"28/08/2019";820;742.0417;2;4;2
5246057;"27/08/2019";627;743.1667;1;4;2
5246060;"29/08/2019";1302;740.7083;3;4;2
5246087;"27/08/2019";656;743.1667;0;4;2
5246103;"27/08/2019";1011;742.9167;0;4;2
5246148;"30/09/2019";839;709.0417;34;4;2
5246154;"31/08/2019";19;739.5833;4;4;18
5246165;"27/08/2019";699;743.125;0;4;2
5246168;"10/09/2019";806;729.0417;14;4;2
5246180;"30/08/2019";582;740.2083;3;4;18
5246184;"27/08/2019";1201;742.7917;0;4;2
5246317;"29/08/2019";678;741.125;2;4;2
5246320;"27/08/2019";337;743.375;0;4;2
5246394;"28/08/2019";1094;741.875;1;4;2
5246433;"27/08/2019";789;743.0833;0;3;2
5246440;"27/08/2019";920;742.9583;0;4;2
5246442;"28/08/2019";610;742.2083;1;4;2
5246545;"29/08/2019";932;740.9583;2;4;2
5246554;"27/08/2019";766;743.0833;0;4;2
5246561;"27/08/2019";1020;742.9167;0;4;2
5246576;"11/08/2020";728;393.125;350;3;2
5246598;"27/08/2019";801;743.0417;0;3;2
5246624;"27/08/2019";930;742.9583;0;4;2
5246646;"27/08/2019";768;743.0833;0;4;2
5246647;"27/08/2019";766;743.0833;0;4;2
5246665;"29/08/2019";680;741.125;2;3;2
5246673;"27/08/2019";731;743.125;0;4;2
5246725;"30/10/2019";592;679.2083;64;4;2
5246727;"02/09/2019";1027;736.9167;6;5;2
5246734;"01/09/2019";824;738.0417;5;4;2
5246765;"29/08/2019";27;741.5833;2;4;2
5246777;"09/09/2019";773;730.0833;13;4;2
5246804;"27/08/2019";1064;742.875;0;4;2
5246813;"01/09/2019";929;737.9583;5;4;2
5246830;"27/08/2019";872;743.0;0;4;2
5246851;"27/08/2019";1110;742.8333;0;4;2
5246874;"27/08/2019";931;742.9583;0;4;2
5246945;"18/09/2019";928;720.9583;22;4;2
5246950;"28/08/2019";1024;741.9167;1;4;2
5246954;"27/08/2019";1035;742.875;0;4;2
5246992;"28/08/2019";743;742.0833;1;4;2
5247012;"28/08/2019";779;742.0833;1;3;2
